model_name,family,rmse,users_evaluated,precision@10,recall@10,ndcg@10,map@10,coverage
user_cf_pearson_k80,memory_cf,2.3617801021036446,926.0,0.2487041036717056,0.2790590412595954,0.35518526024650493,0.22858295349977434,0.13135593220338984
user_cf_pearson_k40,memory_cf,2.3230244657817782,926.0,0.2479481641468674,0.2780266681810718,0.35336273828525766,0.22652760483242962,0.17191283292978207
user_cf_cosine_k80,memory_cf,2.285880993442111,926.0,0.24643628509719148,0.27811303733026627,0.35177895481177046,0.22574825663606765,0.12469733656174334
user_cf_cosine_k40,memory_cf,2.2339172830327287,926.0,0.24384449244060394,0.2757049553511107,0.3463526090936399,0.2214455761906394,0.16585956416464892
user_cf_jaccard_k40,memory_cf,2.2839448736957557,926.0,0.24330453563714818,0.27568741426049165,0.3436272887283105,0.21766224263283435,0.16767554479418886
user_cf_jaccard_k80,memory_cf,2.3243168184656153,926.0,0.24276457883369235,0.27050442297960653,0.34667017995479327,0.22158803945344216,0.12651331719128328
user_cf_pearson_k20,memory_cf,2.2919433014943573,926.0,0.24092872570194312,0.2636806593070706,0.34166546734430503,0.2200704799058252,0.21368038740920098
user_cf_cosine_k20,memory_cf,2.1991234527318295,926.0,0.23596112311015052,0.26230058143369905,0.33401543131438277,0.2125691931040072,0.21307506053268765
user_cf_jaccard_k20,memory_cf,2.2563248234488658,926.0,0.23423326133909197,0.26777331372016355,0.33112163866222993,0.20759727657161547,0.21246973365617433
item_cf_pearson_k40,memory_cf,2.420611531231921,926.0,0.23120950323973985,0.24932124397735747,0.31061160778714586,0.19034703431208466,0.37167070217917675
item_cf_pearson_k80,memory_cf,2.485236794264156,926.0,0.23002159827213747,0.2493044235807447,0.31231179466086245,0.193134109305269,0.3662227602905569
user_cf_pearson_k10,memory_cf,2.269754465959959,926.0,0.22613390928725605,0.2531730846574106,0.3204768958112646,0.19803473766316365,0.274818401937046
user_cf_jaccard_k10,memory_cf,2.236983285584384,926.0,0.22311015118790434,0.2517122132885519,0.3100895583835479,0.19006048529723035,0.27300242130750607
item_cf_pearson_k20,memory_cf,2.3652304553928647,926.0,0.222354211663066,0.24502609956941618,0.30097530369844416,0.1781574832856907,0.38438256658595643
user_cf_cosine_k10,memory_cf,2.177258530940946,926.0,0.22116630669546336,0.25152233704620397,0.3118711413235145,0.19052660140930194,0.27602905569007263
item_cf_jaccard_k40,memory_cf,2.2902138186625396,926.0,0.21371490280777428,0.23099588038179075,0.27992625639684116,0.16309483608658226,0.35048426150121065
item_cf_jaccard_k20,memory_cf,2.2318377440365373,926.0,0.21025917926565785,0.2294362736846513,0.2732215176030821,0.15533765785131753,0.3686440677966102
item_cf_jaccard_k80,memory_cf,2.360460823228396,926.0,0.20993520518358447,0.21768098919484186,0.27330556571962283,0.16087266181970747,0.3595641646489104
item_cf_cosine_k40,memory_cf,2.2479964174409273,926.0,0.20680345572354114,0.22264637280026922,0.2742868884121684,0.16112511696343207,0.3922518159806295
item_cf_cosine_k80,memory_cf,2.3334081014559573,926.0,0.20658747300215907,0.21419838269784505,0.2670775664087389,0.15561823591527624,0.3976997578692494
als_factors32_regularization0.01_iterations15_alpha20.0,implicit_als,,926.0,0.20548741814940552,0.20442901969831204,0.2624260329239922,0.15693727665052049,0.3389830508474576
item_cf_cosine_k20,memory_cf,2.181079742755524,926.0,0.20518358531317393,0.22418607560645845,0.2699115526400578,0.15281257975552426,0.3916464891041162
item_cf_pearson_k10,memory_cf,2.3117420335383128,926.0,0.20021598272138127,0.21935629354265668,0.27010104573640376,0.1555588537610869,0.39648910411622273
item_cf_jaccard_k10,memory_cf,2.1895056184329804,926.0,0.19071274298056085,0.21045774704164472,0.25274491280354056,0.14118330584573638,0.3934624697336562
item_cf_cosine_k10,memory_cf,2.13477898020292,926.0,0.1858531317494593,0.20623053147109063,0.25122402755073275,0.1410774469675079,0.3904358353510896
als_factors64_regularization0.01_iterations15_alpha20.0,implicit_als,,926.0,0.18557843943913063,0.18737972577011902,0.24783002164447457,0.14683131761023743,0.34200968523002423
als_factors32_regularization0.05_iterations20_alpha40.0,implicit_als,,926.0,0.1788679762761837,0.1907985968472907,0.2259378775439003,0.12837260774240103,0.3601694915254237
als_factors64_regularization0.05_iterations20_alpha40.0,implicit_als,,926.0,0.17469616716377,0.18052788391148003,0.23071973588085168,0.13190438846524938,0.3644067796610169
popularity_baseline,baseline,,926.0,0.1346652267818572,0.14031106779635175,0.17551489724913244,0.09063174997020655,0.029055690072639227
