observed_ratings,stage,user_id,precision@10,recall@10,ndcg@10,ap@10
0,popularity,7,0.7,0.025547445255474453,0.750637296052051,0.5747619047619048
0,popularity,21,0.3,0.0625,0.31833954895937183,0.15416666666666665
0,popularity,28,0.4,0.08,0.5423640154200349,0.3571428571428571
0,popularity,31,0.0,0.0,0.0,0.0
0,popularity,33,0.3,0.1875,0.27848058942730364,0.11190476190476191
0,popularity,35,0.1,0.125,0.0761433407173835,0.013888888888888888
0,popularity,50,0.1,0.07142857142857142,0.07336392209936005,0.014285714285714285
0,popularity,53,0.5,0.25,0.6274092458891772,0.45
0,popularity,54,0.7,0.16666666666666666,0.7702043899253147,0.6164285714285714
0,popularity,62,0.5,0.043859649122807015,0.6274092458891772,0.45
0,popularity,65,0.3,0.05,0.36885567213865283,0.16999999999999998
0,popularity,67,0.1,0.05263157894736842,0.06362078819895171,0.01
0,popularity,69,0.5,0.1282051282051282,0.6371523797895856,0.4714285714285714
0,popularity,71,0.2,0.08333333333333333,0.1884441521277154,0.06666666666666667
0,popularity,72,0.2,0.019417475728155338,0.17947710508581735,0.05833333333333333
0,popularity,80,0.1,0.058823529411764705,0.11004588314904008,0.03333333333333333
0,popularity,81,0.2,0.07692307692307693,0.13305201013572898,0.0325
0,popularity,83,0.3,0.033707865168539325,0.22784037450527975,0.08
0,popularity,97,0.2,0.041666666666666664,0.28952298823485745,0.125
0,popularity,98,0.0,0.0,0.0,0.0
0,popularity,99,0.8,0.10256410256410256,0.857980942822373,0.7621031746031746
0,popularity,107,0.1,0.125,0.15958907712489634,0.0625
0,popularity,111,0.2,0.14285714285714285,0.21726071285222986,0.08333333333333333
0,popularity,114,0.1,0.043478260869565216,0.11004588314904008,0.03333333333333333
0,popularity,118,0.3,0.045454545454545456,0.3222722491219547,0.1595238095238095
0,popularity,121,0.5,0.11363636363636363,0.5795003533950692,0.38416666666666666
0,popularity,124,0.0,0.0,0.0,0.0
0,popularity,130,0.9,0.03501945525291829,0.8899541168509599,0.7904365079365079
0,popularity,133,0.1,0.1,0.13886244387355454,0.05
0,popularity,140,0.1,0.1111111111111111,0.08372491399919346,0.018518518518518517
0,popularity,141,0.8,0.12698412698412698,0.8572048559638628,0.7577777777777778
0,popularity,149,0.1,0.09090909090909091,0.07839826897867533,0.016666666666666666
0,popularity,152,0.3,0.03409090909090909,0.22716217481924803,0.08333333333333333
0,popularity,155,0.1,0.3333333333333333,0.16716045496620227,0.05555555555555555
0,popularity,169,0.4,0.16666666666666666,0.5199967979955745,0.3194444444444445
0,popularity,176,0.3,0.07692307692307693,0.4690000933206748,0.3
0,popularity,187,0.1,0.022727272727272728,0.06625422345438903,0.01111111111111111
0,popularity,190,0.3,0.1111111111111111,0.24966402870278917,0.09523809523809523
0,popularity,201,0.3,0.021739130434782608,0.40350157154648025,0.2095238095238095
0,popularity,209,0.3,0.2,0.3843113526044082,0.1875
0,popularity,212,0.1,0.05555555555555555,0.07839826897867533,0.016666666666666666
0,popularity,217,0.1,0.03333333333333333,0.06625422345438903,0.01111111111111111
0,popularity,223,0.2,0.047619047619047616,0.15457433957839825,0.045
0,popularity,237,0.1,0.023809523809523808,0.11004588314904008,0.03333333333333333
0,popularity,242,0.2,0.11764705882352941,0.15457433957839825,0.045
0,popularity,245,0.4,0.36363636363636365,0.5199967979955745,0.3194444444444445
0,popularity,252,0.4,0.21052631578947367,0.3241295975188817,0.14861111111111108
0,popularity,260,0.0,0.0,0.0,0.0
0,popularity,264,0.2,0.021052631578947368,0.18340980524840012,0.06190476190476191
0,popularity,267,0.3,0.024,0.424926013816671,0.24166666666666664
0,popularity,271,0.4,0.024844720496894408,0.5033242827953464,0.3083333333333333
0,popularity,279,0.2,0.009569377990430622,0.1736666713479918,0.05333333333333333
0,popularity,282,0.3,0.25,0.2973694836145356,0.13285714285714284
0,popularity,284,0.2,0.08695652173913043,0.21726071285222986,0.08333333333333333
0,popularity,290,0.4,0.06153846153846154,0.44793214080335986,0.22749999999999998
0,popularity,292,0.5,0.04950495049504951,0.5606114592078373,0.3472222222222222
0,popularity,296,0.7,0.058823529411764705,0.77523873680463,0.6283333333333333
0,popularity,301,0.9,0.054878048780487805,0.9216017310213247,0.8521031746031745
0,popularity,305,0.5,0.04807692307692308,0.6015720654566381,0.4041666666666666
0,popularity,307,0.4,0.057971014492753624,0.5231737964779628,0.325
0,popularity,310,0.2,0.14285714285714285,0.31488013066763093,0.15
0,popularity,319,0.0,0.0,0.0,0.0
0,popularity,322,0.2,0.04878048780487805,0.3589542101716347,0.2
0,popularity,324,0.7,0.12280701754385964,0.7315449642824575,0.5508730158730158
0,popularity,328,0.7,0.056,0.7720617383222417,0.62
0,popularity,332,0.8,0.05673758865248227,0.8115558478722846,0.6592063492063491
0,popularity,339,0.5,0.026737967914438502,0.5727555047321237,0.3708333333333333
0,popularity,343,0.5,0.028409090909090908,0.6168295842361274,0.4291666666666666
0,popularity,344,0.3,0.026785714285714284,0.40350157154648025,0.2095238095238095
0,popularity,349,0.1,0.058823529411764705,0.11004588314904008,0.03333333333333333
0,popularity,352,0.3,0.1111111111111111,0.424926013816671,0.24166666666666664
0,popularity,355,0.3,0.125,0.2180164145324244,0.07857142857142856
0,popularity,361,0.3,0.037037037037037035,0.40853591842579556,0.21666666666666665
0,popularity,362,0.3,0.23076923076923078,0.27848058942730364,0.11190476190476191
