model_name,family,rmse,users_evaluated,precision@10,recall@10,ndcg@10,map@10,coverage
user_cf_pearson_k80,memory_cf,2.3617801021036446,926.0,0.2487041036717056,0.2790590412595954,0.35518526024650493,0.22858295349977434,0.13135593220338984
user_cf_pearson_k40,memory_cf,2.3230244657817782,926.0,0.2479481641468674,0.2780266681810718,0.35336273828525766,0.22652760483242962,0.17191283292978207
user_cf_cosine_k80,memory_cf,2.285880993442111,926.0,0.24643628509719148,0.27811303733026627,0.35177895481177046,0.22574825663606765,0.12469733656174334
user_cf_cosine_k40,memory_cf,2.2339172830327287,926.0,0.24384449244060394,0.2757049553511107,0.3463526090936399,0.2214455761906394,0.16585956416464892
user_cf_jaccard_k40,memory_cf,2.2839448736957557,926.0,0.24330453563714818,0.27568741426049165,0.3436272887283105,0.21766224263283435,0.16767554479418886
user_cf_jaccard_k80,memory_cf,2.3243168184656153,926.0,0.24276457883369235,0.27050442297960653,0.34667017995479327,0.22158803945344216,0.12651331719128328
user_cf_pearson_k20,memory_cf,2.2919433014943573,926.0,0.24092872570194312,0.2636806593070706,0.34166546734430503,0.2200704799058252,0.21368038740920098
user_cf_cosine_k20,memory_cf,2.1991234527318295,926.0,0.23596112311015052,0.26230058143369905,0.33401543131438277,0.2125691931040072,0.21307506053268765
user_cf_jaccard_k20,memory_cf,2.2563248234488658,926.0,0.23423326133909197,0.26777331372016355,0.33112163866222993,0.20759727657161547,0.21246973365617433
item_cf_pearson_k40,memory_cf,2.420611531231921,926.0,0.23120950323973985,0.24932124397735747,0.31061160778714586,0.19034703431208466,0.37167070217917675
