users_evaluated,precision@10,recall@10,ndcg@10,map@10,coverage,segment,segment_users_in_train,model_name
0.0,0.0,0.0,0.0,0.0,0.0,cold_user,0,popularity_baseline
0.0,0.0,0.0,0.0,0.0,0.0,cold_user,0,cf_user_pearson_k40
0.0,0.0,0.0,0.0,0.0,0.0,cold_user,0,content_tfidf_metadata
0.0,0.0,0.0,0.0,0.0,0.0,cold_user,0,weighted_hybrid_alpha_0.85
0.0,0.0,0.0,0.0,0.0,0.0,cold_user,0,switching_hybrid_lt_15
109.0,0.05504587155963303,0.1834862385321101,0.109329177240915,0.05383355176933159,0.009685230024213076,warm_user,113,popularity_baseline
109.0,0.11284403669724759,0.4314220183486239,0.3051523824784811,0.20200063103732824,0.06658595641646489,warm_user,113,cf_user_pearson_k40
109.0,0.003669724770642202,0.009938837920489297,0.007851327748257999,0.0037043104703655162,0.23002421307506055,warm_user,113,content_tfidf_metadata
109.0,0.10917431192660537,0.41842507645259946,0.3036746265244804,0.2034335711858648,0.07142857142857142,warm_user,113,weighted_hybrid_alpha_0.85
109.0,0.10642201834862375,0.41620795107033637,0.2919132093638691,0.19510120867919026,0.10835351089588378,warm_user,113,switching_hybrid_lt_15
817.0,0.1452876376988981,0.1345508552991697,0.18434506062844155,0.09554117910594141,0.029055690072639227,power_user,830,popularity_baseline
817.0,0.2659730722154217,0.25756143786496044,0.3597947196597237,0.2297998693901605,0.17070217917675545,power_user,830,cf_user_pearson_k40
817.0,0.018359853121174993,0.022129742276985248,0.02603558173926379,0.011445506531185834,0.33958837772397094,power_user,830,content_tfidf_metadata
817.0,0.26842105263157845,0.26070982951656674,0.3641786638352909,0.2342417503630491,0.18038740920096852,power_user,830,weighted_hybrid_alpha_0.85
817.0,0.2659730722154217,0.25756143786496044,0.3597947196597237,0.2297998693901605,0.17070217917675545,power_user,830,switching_hybrid_lt_15
