observed_ratings,stage,users_evaluated,precision@10,recall@10,ndcg@10,map@10,coverage
0,popularity,200.0,0.32500000000000007,0.08652083346056941,0.36404226120342753,0.21934292328042326,0.005945303210463734
1,content,200.0,0.06599999999999995,0.012103987523581463,0.07485291440718841,0.03203174603174601,0.2348394768133175
3,content,200.0,0.06849999999999994,0.013635610776921497,0.07825863513675073,0.032087103174603164,0.33531510107015455
5,hybrid,200.0,0.2775000000000002,0.08853981040477903,0.2953684206861546,0.1813948578042329,0.18549346016646848
10,hybrid,200.0,0.3165000000000001,0.10792999213900238,0.3479790349379538,0.22573561507936507,0.1807372175980975
15,hybrid,199.0,0.32663316582914587,0.12078422698580882,0.369016307628075,0.24161024636916004,0.1807372175980975
