switch_threshold,sparse_user_count,users_evaluated,precision@10,recall@10,ndcg@10,map@10,coverage
5,0,926.0,0.2479481641468674,0.2780266681810718,0.35336273828525766,0.22652760483242962,0.17191283292978207
10,1,926.0,0.2478401727861763,0.277666696978768,0.35321018215905914,0.22648760803217363,0.17675544794188863
15,9,926.0,0.24719222462202944,0.27623581144961046,0.35180434749746853,0.22571546980323198,0.2112590799031477
20,113,926.0,0.23509719222462155,0.22841363722354863,0.31836725776085795,0.20318602930132934,0.35472154963680386
30,274,926.0,0.21997840172786148,0.18061631815193152,0.2807980783234417,0.17801336148210178,0.41767554479418884
40,376,926.0,0.20345572354211644,0.14848588858629663,0.2492791379440409,0.15834339749418674,0.43341404358353514
