alpha,beta,users_evaluated,precision@10,recall@10,ndcg@10,map@10,coverage
0.95,0.05,926.0,0.24946004319654355,0.28040289196722484,0.35583821372818886,0.22844197872333452,0.17312348668280872
0.9,0.1,926.0,0.24859611231101444,0.2779272002146518,0.35675835598399996,0.2302206270777246,0.18159806295399517
0.85,0.15,926.0,0.24967602591792587,0.27927458320558146,0.3570566983203037,0.23061530162620983,0.18099273607748184
0.8,0.2,926.0,0.24784017278617643,0.27770442449878485,0.35632421268123826,0.22998317073409616,0.18704600484261502
0.75,0.25,926.0,0.24557235421166249,0.2739474688029316,0.35102597510097944,0.2253768865157455,0.1973365617433414
0.7,0.3,926.0,0.23995680345572298,0.26711076061780814,0.3438843320601194,0.21950082326747178,0.21428571428571427
